wake,estimatedSleep,coffee,actualSleep
19800.0,6.0,1.0,21312.0
19800.0,6.0,3.0,19872.0
19800.0,6.0,5.0,18432.0
19800.0,7.0,1.0,24912.0
19800.0,7.0,3.0,23472.0
19800.0,7.0,5.0,22032.0
19800.0,8.0,1.0,28512.0
19800.0,8.0,3.0,27072.0
19800.0,8.0,5.0,25632.0
19800.0,9.0,1.0,32112.0
19800.0,9.0,3.0,30672.0
19800.0,9.0,5.0,29232.0
23400.0,6.0,1.0,21456.0
23400.0,6.0,3.0,20016.0
23400.0,6.0,5.0,18576.0
23400.0,7.0,1.0,25056.0
23400.0,7.0,3.0,23616.0
23400.0,7.0,5.0,22176.0
23400.0,8.0,1.0,28656.0
23400.0,8.0,3.0,27216.0
23400.0,8.0,5.0,25776.0
23400.0,9.0,1.0,32256.0
23400.0,9.0,3.0,30816.0
23400.0,9.0,5.0,29376.0
27000.0,6.0,1.0,21600.0
27000.0,6.0,3.0,20160.0
27000.0,6.0,5.0,18720.0
27000.0,7.0,1.0,25200.0
27000.0,7.0,3.0,23760.0
27000.0,7.0,5.0,22320.0
27000.0,8.0,1.0,28800.0
27000.0,8.0,3.0,27360.0
27000.0,8.0,5.0,25920.0
27000.0,9.0,1.0,32400.0
27000.0,9.0,3.0,30960.0
27000.0,9.0,5.0,29520.0
30600.0,6.0,1.0,21744.0
30600.0,6.0,3.0,20304.0
30600.0,6.0,5.0,18864.0
30600.0,7.0,1.0,25344.0
30600.0,7.0,3.0,23904.0
30600.0,7.0,5.0,22464.0
30600.0,8.0,1.0,28944.0
30600.0,8.0,3.0,27504.0
30600.0,8.0,5.0,26064.0
30600.0,9.0,1.0,32544.0
30600.0,9.0,3.0,31104.0
30600.0,9.0,5.0,29664.0
34200.0,6.0,1.0,21888.0
34200.0,6.0,3.0,20448.0
34200.0,6.0,5.0,19008.0
34200.0,7.0,1.0,25488.0
34200.0,7.0,3.0,24048.0
34200.0,7.0,5.0,22608.0
34200.0,8.0,1.0,29088.0
34200.0,8.0,3.0,27648.0
34200.0,8.0,5.0,26208.0
34200.0,9.0,1.0,32688.0
34200.0,9.0,3.0,31248.0
34200.0,9.0,5.0,29808.0
